title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,,CompanyUrl
Wilms badkamers - keukens,4.2,25,Ravelijncenter 39a,Den Helder,,NL,https://wilmsbadkamerskeukens.nl/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+31 223 747 744,Keukenwinkel,Badkamerinstallateur,Meubelwinkel,Leverancier van verwarmingsapparatuur,Installatiebedrijf,Spiegelwinkel,Douchedeurwinkel,Winkel voor toiletbenodigdheden,,,https://www.google.com/maps/search/?api=1&query=Wilms%20badkamers%20-%20keukens&query_place_id=ChIJ3z1gZhlIz0cRmB5n1m1fOUQ,Keukenwinkel,,showroom@wilms.nl
Sanisale Schagen,4.8,44,Witte Paal 241A,Schagen,,NL,https://www.sanisale.com/sanitairwinkels/schagen,+31 224 769 004,Sanitairwinkel,Badkamerinstallateur,Tegelzetter,Tegelwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanisale%20Schagen&query_place_id=ChIJDxgU1x9Oz0cR2MnfbcfiXys,Sanitairwinkel,,https://www.linkedin.com/company/sanisale-bv
Sanisale Heerhugowaard,4.5,62,M. de Klerkweg 4,Heerhugowaard,,NL,https://www.sanisale.com/winkels/sanisale-heerhugowaard/,+31 72 737 0100,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanisale%20Heerhugowaard&query_place_id=ChIJ5z1vvZ1Wz0cREtmMGmdbqhQ,Sanitairwinkel,,https://nl.linkedin.com/company/sanisale-bv
Saniwaard Heerhugowaard,5,50,J.J.P. Oudweg 1,Heerhugowaard,,NL,https://www.facebook.com/profile.php?id=100093245615279&locale=hi_IN&paipv=0&eav=AfaClTq5p_k-117zMsN3JFh3RcBGVxPQzuEncK31ZAhroCpiqfXRTLpXoD6-upBV58k,+31 6 24370037,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Saniwaard%20Heerhugowaard&query_place_id=ChIJKWvM5HJXz0cRrg8tbq1ufcU,Sanitairwinkel,,
Sanitairkamer Zaandam,4.4,748,Cornelis Ouwejanstraat 11,Zaandam,,NL,https://sanitairkamer.nl/showroom-zaandam/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+31 75 207 7575,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitairkamer%20Zaandam&query_place_id=ChIJYcYGqI7jxUcRPYsHw7FNkks,Sanitairwinkel,,https://nl.linkedin.com/company/sanitairkamer
Warmteservice Schagen,4.7,101,"De, Witte Paal 304 B",Schagen,,NL,https://www.warmteservice.nl/vestiging/Schagen,+31 224 767 180,Leverancier van verwarmingsapparatuur,Sanitairwinkel,Bouwmarkt,Doe-het-zelfzaak,Leverancier van pijpen,Winkel voor dakdekkersbenodigdheden,,,,,https://www.google.com/maps/search/?api=1&query=Warmteservice%20Schagen&query_place_id=ChIJy5gkBXVPz0cRR1ZvnSHgu1Y,Leverancier van verwarmingsapparatuur,,https://nl.linkedin.com/company/warmteservice
Compleet Sanitair,4.9,50,Tulpenmarkt 9,Zwaagdijk-Oost,,NL,https://compleetsanitair.nl/,+31 85 401 2672,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Compleet%20Sanitair&query_place_id=ChIJc598hNZ8B4cR43kHp6Ahoz0,Sanitairwinkel,,https://www.linkedin.com/company/compleetsanitair
BetonSense,5,16,Leng 69,Schagen,,NL,https://www.betonsense.nl/,+31 6 13799742,Leverancier van bouwmaterialen,Bouwbedrijf,,,,,,,,,https://www.google.com/maps/search/?api=1&query=BetonSense&query_place_id=ChIJTUnJK3y_F6sRZBQhhBejUj0,Leverancier van bouwmaterialen,,https://nl.linkedin.com/company/byzonder
Stukadoorsbedrijf De Stuc Buren & Badkamers | Stucwerk en meer in Den Helder,4.9,74,Breeuwersweg 12,Den Helder,,NL,http://www.destucburen.nl/,+31 6 30827719,Stukadoorsbedrijf,Badkamerinstallateur,Bouwbedrijf,Installatiebedrijf,Stukadoor,Tegelzetter,,,,,https://www.google.com/maps/search/?api=1&query=Stukadoorsbedrijf%20De%20Stuc%20Buren%20%26%20Badkamers%20%7C%20Stucwerk%20en%20meer%20in%20Den%20Helder&query_place_id=ChIJV7DC-qY5z0cRlT5h1p9htV0,Stukadoorsbedrijf,,https://nl.linkedin.com/company/stucbv
Keukentechniek Schagen,5,1,Lagedijkerweg 23,Schagen,,NL,http://www.keukentechniekschagen.nl/,+31 6 22959920,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukentechniek%20Schagen&query_place_id=ChIJmQZVFwhPz0cR53p-aFlkckw,Keukenwinkel,,https://www.facebook.com/KeukentechniekSchagen
Stammis Keukens & Interieur,4.1,14,De Fok 9,Schagen,,NL,http://www.stammiskeukens.nl/,+31 224 295 999,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Stammis%20Keukens%20%26%20Interieur&query_place_id=ChIJN7eZoh1Pz0cR74OB0WQqVk4,Keukenwinkel,,https://nl.linkedin.com/company/demandemakersgroep
Mubo Keukens V.O.F.,4.8,11,Nieuwe Laagzijde 49,Schagen,,NL,http://www.mubokeukens.nl/,+31 224 215 435,Kookwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mubo%20Keukens%20V.O.F.&query_place_id=ChIJhSuEsjxOz0cRHO3hRYWQWb4,Kookwinkel,,
Van Slageren Keukens & Interieur,4.5,61,Grotewallerweg 7,Schagen,,NL,http://vanslageren.com/,+31 224 298 400,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Van%20Slageren%20Keukens%20%26%20Interieur&query_place_id=ChIJ41TvKx9Oz0cR3mNXKHaV50s,Keukenwinkel,,
De Keukenzaak,4.7,23,De Fok 7,Schagen,,NL,http://www.dekeukenzaak.nl/,+31 224 745 003,Keukenwinkel,Keukenvernieuwer,Winkel,,,,,,,,https://www.google.com/maps/search/?api=1&query=De%20Keukenzaak&query_place_id=ChIJVzIwzzJOz0cRankZQFITa5k,Keukenwinkel,,https://in.linkedin.com/company/de-keuken-designers
Blaauboer Keukens & Interieur,5,21,Witte Paal 24,Schagen,,NL,http://www.blaauboer.nl/,+31 224 745 050,Keukenwinkel,Interieurinrichter,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Blaauboer%20Keukens%20%26%20Interieur&query_place_id=ChIJN1KocpVPz0cRye2uCEK1WqU,Keukenwinkel,,
Sanitair En Keukenhuis,4.7,23,"Sanitair en Keukenhuis, J.J.P. Oudweg 2",Heerhugowaard,,NL,http://www.sanitairenkeukenhuis.nl/,+31 72 571 4050,Sanitairwinkel,Woonwinkel,Installatiebedrijf,Keukenwinkel,Tegelzetter,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitair%20En%20Keukenhuis&query_place_id=ChIJwUdsHZ5Wz0cRD9yjYyRDaow,Sanitairwinkel,,https://www.linkedin.com/company/sanitair-aan-huis
KeukenStudio Heemskerk bv,4.4,12,Rijksstraatweg 41,Heemskerk,,NL,https://www.keukenstudioheemskerk.nl/,+31 251 206 222,Kookwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KeukenStudio%20Heemskerk%20bv&query_place_id=ChIJY2scg6bwxUcRASxTVVotj4U,Kookwinkel,,
Meijer Tegels en Sanitair,4.6,293,Haverstraat 70,Nieuw-Vennep,,NL,http://www.meijer-sanitair.nl/,+31 252 675 504,Tegelwinkel,Sanitairwinkel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Meijer%20Tegels%20en%20Sanitair&query_place_id=ChIJeaAhYf_nxUcR1Y-bSclsJIQ,Tegelwinkel,,https://nl.linkedin.com/company/meyer-totaal
De Badkamer Expert | Cruquius,4.7,115,Spaarneweg 16-D,Cruquius,,NL,https://www.de-badkamerexpert.nl/,+31 85 301 9531,Badkamerinstallateur,Sanitairwinkel,Douchedeurwinkel,Tegelzetter,Tegelwinkel,,,,,,https://www.google.com/maps/search/?api=1&query=De%20Badkamer%20Expert%20%7C%20Cruquius&query_place_id=ChIJ-UeuA8jpxUcRJrNCmQ1pm4A,Badkamerinstallateur,,https://nl.linkedin.com/company/de-sanitairxpert
Keukenstudio Heiloo,5,75,"Stationsweg 89, A-3",Heiloo,,NL,https://www.keukenstudioheiloo.nl/,+31 72 785 5394,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukenstudio%20Heiloo&query_place_id=ChIJkxqq1l35xUcRd1uv-uOjIQc,Keukenwinkel,,https://nl.linkedin.com/company/keukenstudio-heiloo
Keukenstudio Van den Bijtel,4.4,8,Jacobus Spijkerdreef 200,Hoofddorp,,NL,https://www.keukenstudiobijtel.nl/,+31 23 557 1660,Keukenwinkel,Kookwinkel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukenstudio%20Van%20den%20Bijtel&query_place_id=ChIJC2XcL6nnxUcRLB4LBhmOe8U,Keukenwinkel,,
TheClassicHouse,4.9,43,Lisserweg 41a,Weteringbrug,,NL,https://www.theclassichouse.eu/,+31 71 711 3251,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=TheClassicHouse&query_place_id=ChIJq6oOVtbcxUcR1Zld9HiXyU4,Sanitairwinkel,,https://be.linkedin.com/company/thepowerhouse-group
"B&B keukenstudio Amsterdam, Italiaanse keukens",4.5,15,Buitenveldertselaan 108,Amsterdam,,NL,https://www.benbkeukenstudio.nl/,+31 20 642 5042,Keukenwinkel,Winkel huishoudapparatuur,Installatiebedrijf,,,,,,,,https://www.google.com/maps/search/?api=1&query=B%26B%20keukenstudio%20Amsterdam%2C%20Italiaanse%20keukens&query_place_id=ChIJs3mTlwwKxkcRyrEqaIAMNjk,Keukenwinkel,,https://nl.linkedin.com/company/b&b-keukenstudio-b-v-
Keukenhof Keukens,4.5,99,Schelphorst 62,Wieringerwerf,,NL,http://www.keukenhofkeukens.nl/,+31 227 603 002,Keukenwinkel,Winkel voor elektrische apparatuur,Interieurinrichter,Keukenvernieuwer,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukenhof%20Keukens&query_place_id=ChIJ452MKJuzyEcRV4ItuLwKOdw,Keukenwinkel,,https://nl.linkedin.com/company/keukenhof
Keukencentrum Stedebroec,4.6,27,Raadhuislaan 21A,Grootebroek,,NL,http://www.keukencentrumstedebroec.nl/,+31 228 515 883,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukencentrum%20Stedebroec&query_place_id=ChIJVXuIFT-kyEcR8ra-0YKfWhU,Keukenwinkel,,
Duitse Keuken Import B.V.,4.2,88,Graftermeerstraat 31 F,Hoofddorp,,NL,http://dki.nl/,+31 23 562 9000,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Duitse%20Keuken%20Import%20B.V.&query_place_id=ChIJ06hjolPmxUcRVqrTQTJCkeo,Keukenwinkel,,https://nl.linkedin.com/company/dki-group-nl
Sombroek Keukenspeciaalzaak Broek op Langedijk,4.8,148,Dulleweg 3,Broek op Langedijk,,NL,https://www.sombroekkeukens.nl/?utm_source=Google&utm_medium=Onbetaald&utm_campaign=mijnbedrijfpagina,+31 226 313 894,Keukenwinkel,Keukenvernieuwer,Winkel,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sombroek%20Keukenspeciaalzaak%20Broek%20op%20Langedijk&query_place_id=ChIJ4_BvMbpWz0cRMjrt45ZPklg,Keukenwinkel,,https://nl.linkedin.com/company/keukenspeciaalzaak-sombroek
B&B Keukenstudio,4.8,36,Haverstraat 139,Nieuw-Vennep,,NL,https://benbkeukenstudio.nl/,+31 252 688 806,Keukenwinkel,Winkel huishoudapparatuur,Ontwerpservice,Keukenvernieuwer,,,,,,,https://www.google.com/maps/search/?api=1&query=B%26B%20Keukenstudio&query_place_id=ChIJSbqXXv_nxUcRytIiG-hZAMk,Keukenwinkel,,https://nl.linkedin.com/company/b&b-keukenstudio-b-v-
WST Keukens BV,4.4,21,Vlietsend 28,Krommenie,,NL,http://www.wstkeukens.nl/,+31 75 621 7260,Keukenwinkel,Aannemer,,,,,,,,,https://www.google.com/maps/search/?api=1&query=WST%20Keukens%20BV&query_place_id=ChIJzc9LxJP7xUcRwVxamIibcII,Keukenwinkel,,https://nl.linkedin.com/company/vanhulstprofessionals
De KeukenGalerie,5,2,Binnenweg 79C,Heemstede,,NL,https://www.dekeukengalerie.nl/,+31 23 576 7126,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=De%20KeukenGalerie&query_place_id=ChIJ4UivPwvpxUcR-jw50U6f7hg,Keukenwinkel,,https://nl.linkedin.com/company/dkg-groep
Uw keuken wrappen,5,221,Binairstraat 17,Amsterdam,,NL,http://www.uwkeukenwrappen.nl/,+31 6 53512997,Keukenvernieuwer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Uw%20keuken%20wrappen&query_place_id=ChIJ1TyoBp4JxkcR-9XWyNcUHsM,Keukenvernieuwer,,https://www.linkedin.com/company/wrappr-nl
"Sobik BV voor al uw Tegel, Sanitair, Laminaat & Pvc",5,42,Monitorstraat 9,Amsterdam,,NL,http://www.sobik.nl/,+31 20 600 4026,Tegelwinkel,Sanitairwinkel,Bouwbedrijf,Tegelzetter,Hout- en laminaatvloerenleverancier,,,,,,https://www.google.com/maps/search/?api=1&query=Sobik%20BV%20voor%20al%20uw%20Tegel%2C%20Sanitair%2C%20Laminaat%20%26%20Pvc&query_place_id=ChIJk8329CIIxkcRE58Xvw1u0tc,Tegelwinkel,,
Victor Keukens,5,9,Olifantswerf 15,Amsterdam,,NL,https://www.victorkeukens.nl/,+31 20 775 1730,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Victor%20Keukens&query_place_id=ChIJdTU6PjYJxkcRKF2X2fAMxcc,Keukenwinkel,,https://nl.linkedin.com/company/interkeukens
De Badmeester,5,27,Oudeweg 109A,Haarlem,,NL,http://www.debadmeesterhaarlem.nl/,+31 23 200 0000,Tegelwinkel,Badkamerinstallateur,Sanitairwinkel,,,,,,,,https://www.google.com/maps/search/?api=1&query=De%20Badmeester&query_place_id=ChIJVXoT8PLlxUcRL4jGvSmOJ_I,Tegelwinkel,,https://nl.linkedin.com/company/tuijpshuysch
Smeg store Amsterdam | store & outlet,4.7,353,Arent Janszoon Ernststraat 799,Amsterdam,,NL,http://www.smegstoreamsterdam.nl/,+31 20 752 7277,Winkel huishoudapparatuur,Kookwinkel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Smeg%20store%20Amsterdam%20%7C%20store%20%26%20outlet&query_place_id=ChIJue508hzixUcROq1sRFo-EHQ,Winkel huishoudapparatuur,,https://nl.linkedin.com/company/smeg-store-amsterdam
Keukenstunter Amsterdam Westpoort,4.5,25,Sierenborch 8-E,Amsterdam,,NL,https://www.keukenstunter.com/keukenwinkels/amsterdam_westpoort,+31 20 215 7888,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukenstunter%20Amsterdam%20Westpoort&query_place_id=ChIJSXzsu2njxUcR20ndrpraHjM,Keukenwinkel,,https://nl.linkedin.com/company/keukenstunter
Keuken Wrappen | Restyle uw Keuken,5,55,Aalsmeerderweg 283-30,Aalsmeer,,NL,https://www.restyleuwkeuken.nl/,+31 297 764 124,Keukenvernieuwer,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keuken%20Wrappen%20%7C%20Restyle%20uw%20Keuken&query_place_id=ChIJ33CwzKzhxUcRgQWg_v7Nc64,Keukenvernieuwer,,https://nl.linkedin.com/company/indoorwrap
Loods 5 Keukens,5,2,Pieter Ghijsenlaan 14B,Zaandam,,NL,https://loods5.nl/winkels/afdelingen/keukens,+31 75 615 7264,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Loods%205%20Keukens&query_place_id=ChIJH_fEPirjxUcR8Zy0mNutlZc,Keukenwinkel,,https://nl.linkedin.com/company/loods-5
Bosch Showroom - Inspiratiehuis 20|20,4.5,446,Taurusavenue 36 2,Hoofddorp,,NL,https://www.bosch-home.nl/bosch-ontdekken/showroom,+31 88 424 4010,Kookwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bosch%20Showroom%20-%20Inspiratiehuis%2020%7C20&query_place_id=ChIJUUrwvwznxUcRTEapr7vr5c0,Kookwinkel,,https://nl.linkedin.com/company/bosch-the-netherlands
Piastrelle,5,2,Van Baerlestraat 14,Amsterdam,,NL,http://piastrelle.nl/,+31 20 671 6475,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Piastrelle&query_place_id=ChIJUwb_qOUJxkcRbDkGbYqa62c,Sanitairwinkel,,https://nl.linkedin.com/company/piastrelle-amsterdam
bulthaup KNSM-eiland,3.9,10,KNSM-Laan 25,Amsterdam,,NL,https://amsterdamknsm.bulthaup.nl/nl/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-website,+31 20 509 1191,Keukenwinkel,Architect,Aanrechtwinkel,Ontwerpservice,Meubelmakerij,Interieurdecorateur,Binnenhuisarchitect,Interieurinrichter,Keukenvernieuwer,Kookwinkel,https://www.google.com/maps/search/?api=1&query=bulthaup%20KNSM-eiland&query_place_id=ChIJyeJu6RoJxkcRMCuBn9dRW_I,Keukenwinkel,,https://nl.linkedin.com/company/bulthaup-knsm-eiland
Kvik Zaandam,4.3,38,Cornelis Ouwejanstraat 15,Zaandam,,NL,https://www.kvik.nl/winkel-zoeken/kvik-zaandam?utm_source=google&utm_medium=organic&utm_campaign=website&utm_content=zaandam,+31 75 303 0579,Keukenwinkel,Badkamerinstallateur,Sanitairwinkel,Leverancier van inbouwmeubilair,Meubelmakerij,Meubelfabrikant,Meubelwinkel,Keukenvernieuwer,Kookwinkel,Projectinrichter,https://www.google.com/maps/search/?api=1&query=Kvik%20Zaandam&query_place_id=ChIJuR4v6pzjxUcRPsl7s1wFiNk,Keukenwinkel,,
Wout's Tegelhandel B.V. - Showroom,4.1,283,Oderweg 3,Amsterdam,,NL,http://www.wout.nl/,+31 20 684 1155,Tegelwinkel,Sanitairwinkel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Wout's%20Tegelhandel%20B.V.%20-%20Showroom&query_place_id=ChIJ8SWTPorixUcRBlW5Kpq-2jU,Tegelwinkel,,https://nl.linkedin.com/company/wout
Retro Keukens,5,1,Zwanenburgerdijk 452 A,Zwanenburg,,NL,http://www.retro-keukens.nl/,+31 20 447 0413,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Retro%20Keukens&query_place_id=ChIJh1gT2m_kxUcRh2uObvt6fRw,Keukenwinkel,,
