title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,url,categoryName,,CompanyUrl,DecisionMakers,CompanyURN
Kroon Keukens en Badkamers,4.6,14,De Wieken 2,Hippolytushoef,,NL,https://www.kroonkeukensenbadkamers.nl/,+31 227 760 060,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Kroon%20Keukens%20en%20Badkamers&query_place_id=ChIJHe_HONhKz0cRGLGQGmPzguc,Keukenwinkel,,https://www.linkedin.com/company/kroon-badkamers-b-v,Eva Thijsen (Bedrijfsleider) - https://www.linkedin.com/in/eva-thijsen-bb3123201 ; Dirk Kroon (Directeur) - https://www.linkedin.com/in/dirk-kroon-630218185 ; Petra van Walsem - van IJmeren (Medewerker marketingcommunicatie) - https://www.linkedin.com/in/petra-van-walsem-van-ijmeren-b18216303 ; Gera Kroon-van Vreeswijk (Financieel/HR medewerker) - https://www.linkedin.com/in/gera-kroon-van-vreeswijk-ab2998388,urn:li:organization:107796761
FRM Tegelwerk B.V. tegels en unieke schoonmaakcollectie,4.6,403,Drs. F. Bijlweg 43,Den Helder,,NL,http://frmtegelwerk.nl/,+31 223 759 262,Tegelwinkel,Leverancier van schoonmaakproducten,Tegelzetter,Groothandel,,,,,,,https://www.google.com/maps/search/?api=1&query=FRM%20Tegelwerk%20B.V.%20tegels%20en%20unieke%20schoonmaakcollectie&query_place_id=ChIJwekueQVIz0cRE5ET8UCaZN4,Tegelwinkel,,https://nl.linkedin.com/company/frm-echt-schoon,Frank Maarsen (Oprichter / CEO) - https://www.linkedin.com/in/frank-maarsen-b9270b294,urn:li:organization:77490912
Grando Keukens | Badkamers Den Helder,4.3,27,Ravelijncenter 29,Den Helder,,NL,https://www.grando.nl/vestigingen/grando-den-helder?utm_source=GMBlisting&utm_medium=organic&utm_campaign=den-helder,+31 223 668 680,Keukenwinkel,Badkamerinstallateur,Keukenvernieuwer,Sanitairwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Grando%20Keukens%20%7C%20Badkamers%20Den%20Helder&query_place_id=ChIJfUP8thtIz0cRpAHJfaExZXo,Keukenwinkel,,https://www.linkedin.com/company/grando-keukens-&-bad/,Lies Demesmacre (Owner) - https://www.linkedin.com/in/lies-demesmacre-80a70096 ; Melanie Grando (Bedrijfseigenaar) - https://www.linkedin.com/in/melanie-grando-7a18052b5,
Gerard Wortel | Badkamer Design,5,5,Lagedijkerweg 19 E,Schagen,,NL,http://www.gwbd.nl/,+31 6 25058686,Badkamerinstallateur,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Gerard%20Wortel%20%7C%20Badkamer%20Design&query_place_id=ChIJcyg9-YfLgAUR4wWxS-T4cQU,Badkamerinstallateur,,https://nl.linkedin.com/company/greener-by-design-llc,Adam Zellner (President) - https://www.linkedin.com/in/adam-zellner-14169112 ; Carol Benitez (Vice President Operations) - https://www.linkedin.com/in/carol-benitez-47316525,urn:li:organization:1071402
Tegel Outlet Holland Schagen,4.8,86,De Fok 9,Schagen,,NL,http://www.tegeloutletholland.nl/,+31 6 57891112,Tegelwinkel,Vloerenwinkel,Sanitairwinkel,,,,,,,,https://www.google.com/maps/search/?api=1&query=Tegel%20Outlet%20Holland%20Schagen&query_place_id=ChIJ6WkGulH0yEcRoedKf7EhnzM,Tegelwinkel,,https://nl.linkedin.com/company/tegeloutlet,Willy Hansen (Company Owner by Tegeloutlet Aartselaar) - https://www.linkedin.com/in/willy-hansen-7731363a ; Max Helleman (Algemeen directeur) - https://www.linkedin.com/in/max-helleman-149a75242 ; Willy Hansen (Chief Executive Officer) - https://www.linkedin.com/in/willy-hansen-887b98283 ; Daniëlle Van keulen (Mede-eigenaar) - https://www.linkedin.com/in/daniëlle-van-keulen-466680268 ; Mohammed El Ahmadi (Eigenaar) - https://www.linkedin.com/in/mohammed-el-ahmadi-0506aa394,urn:li:organization:22770345
"Mega Badkamers, Keukens, Tegels & meer | Den Helder",4.4,64,Industrieweg 6,Den Helder,,NL,https://metmega.nl/vestigingen/den-helder,+31 223 637 262,Sanitairwinkel,Vloerenwinkel,Keukenwinkel,Keukenvernieuwer,Kookwinkel,Tegelwinkel,Hout- en laminaatvloerenleverancier,,,,https://www.google.com/maps/search/?api=1&query=Mega%20Badkamers%2C%20Keukens%2C%20Tegels%20%26%20meer%20%7C%20Den%20Helder&query_place_id=ChIJNUlZkRtIz0cRMUziFgOgwlo,Sanitairwinkel,,https://nl.linkedin.com/company/mega-badkamers-keukens-tegels-en-meer,Dennis van den Berg (Bedrijfsleider) - https://www.linkedin.com/in/dennis-van-den-berg-ab382222 ; Bianca Laan (Directeur) - https://www.linkedin.com/in/bianca-laan-4827781a2 ; David van Dorp (Commercieel directeur) - https://www.linkedin.com/in/david-van-dorp-052a76107 ; Boyd Laan (Formule manager) - https://www.linkedin.com/in/boyd-laan-46835786,urn:li:organization:18822311
Van den Berg Tegels & Badkamers Schagen,4.6,34,Witte Paal 221,Schagen,,NL,https://vdbergbadkamers.nl/,+31 224 291 203,Sanitairwinkel,Vloerenlegger,Vloerenwinkel,Douchedeurwinkel,Tegelzetter,Tegelwinkel,,,,,https://www.google.com/maps/search/?api=1&query=Van%20den%20Berg%20Tegels%20%26%20Badkamers%20Schagen&query_place_id=ChIJ150ZOOtPz0cRrrU5zAc2r2w,Sanitairwinkel,,https://nl.linkedin.com/company/van-boven-keuken-en-badkamers,Theo Van boven (Eigenaar) - https://www.linkedin.com/in/theo-van-boven-bba77049,urn:li:organization:72054154
Baderie Bleeker / Bleeker Installatiebedrijf,4.6,5,Molenstraat 24,Schagen,,NL,https://www.baderie.nl/showrooms/baderie-bleeker?utm_source=google&utm_medium=organic&utm_campaign=gbp,+31 224 212 512,Installatiebedrijf,Badkamerinstallateur,Verwarmingsinstallateur,Leverancier van verwarmingsapparatuur,Spiegelwinkel,Loodgieter,Sanitairwinkel,Douchedeurwinkel,Tegelwinkel,Winkel voor toiletbenodigdheden,https://www.google.com/maps/search/?api=1&query=Baderie%20Bleeker%20%2F%20Bleeker%20Installatiebedrijf&query_place_id=ChIJV4_TUyNOz0cR0XVG9ZbAftU,Installatiebedrijf,,https://nl.linkedin.com/company/baderie,Willem Smit (Eigenaar) - https://www.linkedin.com/in/willem-smit-2148b623 ; Peter Voss (Algemeen directeur) - https://www.linkedin.com/in/peter-voss-02499668 ; Simon Lap (Eigenaar) - https://www.linkedin.com/in/simon-lap-6b618a76 ; Stephan Bleeker (Lid Advies commissie Baderie) - https://www.linkedin.com/in/stephan-bleeker-59b538305 ; Fred Mohren (Lid adviescommissie ) - https://www.linkedin.com/in/fred-mohren-a7479613a,urn:li:organization:1441635
Wilms badkamers - keukens,4.2,25,Ravelijncenter 39a,Den Helder,,NL,https://wilmsbadkamerskeukens.nl/?utm_source=google&utm_medium=organic&utm_campaign=gbp,+31 223 747 744,Keukenwinkel,Badkamerinstallateur,Meubelwinkel,Leverancier van verwarmingsapparatuur,Installatiebedrijf,Spiegelwinkel,Douchedeurwinkel,Winkel voor toiletbenodigdheden,,,https://www.google.com/maps/search/?api=1&query=Wilms%20badkamers%20-%20keukens&query_place_id=ChIJ3z1gZhlIz0cRmB5n1m1fOUQ,Keukenwinkel,,showroom@wilms.nl,,
Sanisale Schagen,4.8,44,Witte Paal 241A,Schagen,,NL,https://www.sanisale.com/sanitairwinkels/schagen,+31 224 769 004,Sanitairwinkel,Badkamerinstallateur,Tegelzetter,Tegelwinkel,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanisale%20Schagen&query_place_id=ChIJDxgU1x9Oz0cR2MnfbcfiXys,Sanitairwinkel,,https://www.linkedin.com/company/sanisale-bv,Louis van der Werff (Eigenaar) - https://www.linkedin.com/in/lkhvanderwerff ; Mathijs Wassink (Eigenaar) - https://www.linkedin.com/in/mathijs-wassink-13b05345 ; Debbie ter Horst (Eigenaar) - https://www.linkedin.com/in/debbie-ter-horst-1b0a4623a ; Marinella Maceo Valk (Ondernemer) - https://www.linkedin.com/in/marinella-maceo-valk-84074182 ; Melvin Van maanen (Owner keukensale.com Almere) - https://www.linkedin.com/in/melvin-van-maanen-2143b485,urn:li:organization:18944996
Sanisale Heerhugowaard,4.5,62,M. de Klerkweg 4,Heerhugowaard,,NL,https://www.sanisale.com/winkels/sanisale-heerhugowaard/,+31 72 737 0100,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanisale%20Heerhugowaard&query_place_id=ChIJ5z1vvZ1Wz0cREtmMGmdbqhQ,Sanitairwinkel,,https://nl.linkedin.com/company/sanisale-bv,Louis van der Werff (Eigenaar) - https://www.linkedin.com/in/lkhvanderwerff ; Mathijs Wassink (Eigenaar) - https://www.linkedin.com/in/mathijs-wassink-13b05345 ; Debbie ter Horst (Eigenaar) - https://www.linkedin.com/in/debbie-ter-horst-1b0a4623a ; Marinella Maceo Valk (Ondernemer) - https://www.linkedin.com/in/marinella-maceo-valk-84074182 ; Melvin Van maanen (Owner keukensale.com Almere) - https://www.linkedin.com/in/melvin-van-maanen-2143b485,urn:li:organization:18944996
Saniwaard Heerhugowaard,5,50,J.J.P. Oudweg 1,Heerhugowaard,,NL,https://www.facebook.com/profile.php?id=100093245615279&locale=hi_IN&paipv=0&eav=AfaClTq5p_k-117zMsN3JFh3RcBGVxPQzuEncK31ZAhroCpiqfXRTLpXoD6-upBV58k,+31 6 24370037,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Saniwaard%20Heerhugowaard&query_place_id=ChIJKWvM5HJXz0cRrg8tbq1ufcU,Sanitairwinkel,,,,
Sanitairkamer Zaandam,4.4,748,Cornelis Ouwejanstraat 11,Zaandam,,NL,https://sanitairkamer.nl/showroom-zaandam/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,+31 75 207 7575,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitairkamer%20Zaandam&query_place_id=ChIJYcYGqI7jxUcRPYsHw7FNkks,Sanitairwinkel,,https://nl.linkedin.com/company/sanitairkamer,Daniel Lamboo (Eigenaar) - https://www.linkedin.com/in/daniel-lamboo-51a5b85b ; Jelle van Nieuwenhuizen (CFO) - https://www.linkedin.com/in/jelle-van-nieuwenhuizen-0077b5a9 ; Willem Hendriks (Managing partner) - https://www.linkedin.com/in/willem-hendriks-45472211,urn:li:organization:20111066
Warmteservice Schagen,4.7,101,"De, Witte Paal 304 B",Schagen,,NL,https://www.warmteservice.nl/vestiging/Schagen,+31 224 767 180,Leverancier van verwarmingsapparatuur,Sanitairwinkel,Bouwmarkt,Doe-het-zelfzaak,Leverancier van pijpen,Winkel voor dakdekkersbenodigdheden,,,,,https://www.google.com/maps/search/?api=1&query=Warmteservice%20Schagen&query_place_id=ChIJy5gkBXVPz0cRR1ZvnSHgu1Y,Leverancier van verwarmingsapparatuur,,https://nl.linkedin.com/company/warmteservice,Auke Rauwerda (Eigenaar) - https://www.linkedin.com/in/auke-rauwerda-93a51113a ; Bart van Arkel (Eigenaar) - https://www.linkedin.com/in/bart-van-arkel-622a0017a ; Larz undefined (DGA) - https://www.linkedin.com/in/larz-undefined-8aab9b308 ; larswarmteservice gubbels (Ondernemer) - https://www.linkedin.com/in/larswarmteservice-gubbels-aa6655360 ; michiel van der Linden (Eigenaar) - https://www.linkedin.com/in/michiel-van-der-linden-004842147,urn:li:organization:815828
Compleet Sanitair,4.9,50,Tulpenmarkt 9,Zwaagdijk-Oost,,NL,https://compleetsanitair.nl/,+31 85 401 2672,Sanitairwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Compleet%20Sanitair&query_place_id=ChIJc598hNZ8B4cR43kHp6Ahoz0,Sanitairwinkel,,https://www.linkedin.com/company/compleetsanitair,Bodhi De Boer (Eigenaar) - https://www.linkedin.com/in/bodhi-de-boer-85833b1b0,urn:li:organization:105203139
BetonSense,5,16,Leng 69,Schagen,,NL,https://www.betonsense.nl/,+31 6 13799742,Leverancier van bouwmaterialen,Bouwbedrijf,,,,,,,,,https://www.google.com/maps/search/?api=1&query=BetonSense&query_place_id=ChIJTUnJK3y_F6sRZBQhhBejUj0,Leverancier van bouwmaterialen,,https://nl.linkedin.com/company/byzonder,Daniel van Heyningen (Empowering executives and their organizations to build future-proof (family)business) - https://www.linkedin.com/in/danielvanheyningen,urn:li:organization:28610563
Stukadoorsbedrijf De Stuc Buren & Badkamers | Stucwerk en meer in Den Helder,4.9,74,Breeuwersweg 12,Den Helder,,NL,http://www.destucburen.nl/,+31 6 30827719,Stukadoorsbedrijf,Badkamerinstallateur,Bouwbedrijf,Installatiebedrijf,Stukadoor,Tegelzetter,,,,,https://www.google.com/maps/search/?api=1&query=Stukadoorsbedrijf%20De%20Stuc%20Buren%20%26%20Badkamers%20%7C%20Stucwerk%20en%20meer%20in%20Den%20Helder&query_place_id=ChIJV7DC-qY5z0cRlT5h1p9htV0,Stukadoorsbedrijf,,https://nl.linkedin.com/company/stucbv,Bruce Tamara (Eigenaar) - https://www.linkedin.com/in/bruce-tamara-1962541a1 ; Roger Start (Eigenaar) - https://www.linkedin.com/in/roger-start-797b44205 ; Nadine Luijten (Eigenaar) - https://www.linkedin.com/in/nadine-luijten-10a2b5232 ; rene vis (Oprichter) - https://www.linkedin.com/in/rene-vis-aa69b4103 ; Adem Ahmetaj (CEO) - https://www.linkedin.com/in/adem-ahmetaj-61a94a383,urn:li:organization:2021210
Keukentechniek Schagen,5,1,Lagedijkerweg 23,Schagen,,NL,http://www.keukentechniekschagen.nl/,+31 6 22959920,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukentechniek%20Schagen&query_place_id=ChIJmQZVFwhPz0cR53p-aFlkckw,Keukenwinkel,,https://www.facebook.com/KeukentechniekSchagen,,
Stammis Keukens & Interieur,4.1,14,De Fok 9,Schagen,,NL,http://www.stammiskeukens.nl/,+31 224 295 999,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Stammis%20Keukens%20%26%20Interieur&query_place_id=ChIJN7eZoh1Pz0cR74OB0WQqVk4,Keukenwinkel,,https://nl.linkedin.com/company/demandemakersgroep,Anjo van der Spek (CIO) - https://www.linkedin.com/in/anjovanderspek ; Mark Strijbos (Chief Operating Officer) - https://www.linkedin.com/in/markstrijbos ; Paul Poppelaars (Chief Financial Officer) - https://www.linkedin.com/in/paul-poppelaars ; Jeroen Maan (CFO) - https://www.linkedin.com/in/jeroenmaan ; Jeroen Voogd (Product Owner) - https://www.linkedin.com/in/jeroenvoogd,urn:li:organization:114928
Mubo Keukens V.O.F.,4.8,11,Nieuwe Laagzijde 49,Schagen,,NL,http://www.mubokeukens.nl/,+31 224 215 435,Kookwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mubo%20Keukens%20V.O.F.&query_place_id=ChIJhSuEsjxOz0cRHO3hRYWQWb4,Kookwinkel,,,,
Van Slageren Keukens & Interieur,4.5,61,Grotewallerweg 7,Schagen,,NL,http://vanslageren.com/,+31 224 298 400,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Van%20Slageren%20Keukens%20%26%20Interieur&query_place_id=ChIJ41TvKx9Oz0cR3mNXKHaV50s,Keukenwinkel,,,,
De Keukenzaak,4.7,23,De Fok 7,Schagen,,NL,http://www.dekeukenzaak.nl/,+31 224 745 003,Keukenwinkel,Keukenvernieuwer,Winkel,,,,,,,,https://www.google.com/maps/search/?api=1&query=De%20Keukenzaak&query_place_id=ChIJVzIwzzJOz0cRankZQFITa5k,Keukenwinkel,,https://in.linkedin.com/company/de-keuken-designers,Mark Iesberts (Managing Director) - https://www.linkedin.com/in/mark-iesberts-11a18215,urn:li:organization:1937686
Blaauboer Keukens & Interieur,5,21,Witte Paal 24,Schagen,,NL,http://www.blaauboer.nl/,+31 224 745 050,Keukenwinkel,Interieurinrichter,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Blaauboer%20Keukens%20%26%20Interieur&query_place_id=ChIJN1KocpVPz0cRye2uCEK1WqU,Keukenwinkel,,,,
Sanitair En Keukenhuis,4.7,23,"Sanitair en Keukenhuis, J.J.P. Oudweg 2",Heerhugowaard,,NL,http://www.sanitairenkeukenhuis.nl/,+31 72 571 4050,Sanitairwinkel,Woonwinkel,Installatiebedrijf,Keukenwinkel,Tegelzetter,,,,,,https://www.google.com/maps/search/?api=1&query=Sanitair%20En%20Keukenhuis&query_place_id=ChIJwUdsHZ5Wz0cRD9yjYyRDaow,Sanitairwinkel,,https://www.linkedin.com/company/sanitair-aan-huis,Mick Veenstra (Eigenaar) - https://www.linkedin.com/in/mick-veenstra-526164135,urn:li:organization:101797627
KeukenStudio Heemskerk bv,4.4,12,Rijksstraatweg 41,Heemskerk,,NL,https://www.keukenstudioheemskerk.nl/,+31 251 206 222,Kookwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=KeukenStudio%20Heemskerk%20bv&query_place_id=ChIJY2scg6bwxUcRASxTVVotj4U,Kookwinkel,,,,
Meijer Tegels en Sanitair,4.6,293,Haverstraat 70,Nieuw-Vennep,,NL,http://www.meijer-sanitair.nl/,+31 252 675 504,Tegelwinkel,Sanitairwinkel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Meijer%20Tegels%20en%20Sanitair&query_place_id=ChIJeaAhYf_nxUcR1Y-bSclsJIQ,Tegelwinkel,,https://nl.linkedin.com/company/meyer-totaal,Mariëtte van Steijn- Meijer (Eigenaresse) - https://www.linkedin.com/in/mariëtte-van-steijn-96870b33 ; Cees Meyer (Owner) - https://www.linkedin.com/in/cees-meyer-70b41b11,urn:li:organization:2552589
De Badkamer Expert | Cruquius,4.7,115,Spaarneweg 16-D,Cruquius,,NL,https://www.de-badkamerexpert.nl/,+31 85 301 9531,Badkamerinstallateur,Sanitairwinkel,Douchedeurwinkel,Tegelzetter,Tegelwinkel,,,,,,https://www.google.com/maps/search/?api=1&query=De%20Badkamer%20Expert%20%7C%20Cruquius&query_place_id=ChIJ-UeuA8jpxUcRJrNCmQ1pm4A,Badkamerinstallateur,,https://nl.linkedin.com/company/de-sanitairxpert,Frank Pijnenburg (Mede-eigenaar | De SanitairXpert | Sanitair & Tegels Showroom) - https://www.linkedin.com/in/frankpijnenburg,urn:li:organization:108274956
Keukenstudio Heiloo,5,75,"Stationsweg 89, A-3",Heiloo,,NL,https://www.keukenstudioheiloo.nl/,+31 72 785 5394,Keukenwinkel,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukenstudio%20Heiloo&query_place_id=ChIJkxqq1l35xUcRd1uv-uOjIQc,Keukenwinkel,,https://nl.linkedin.com/company/keukenstudio-heiloo,Marike Cnossen (Mede-eigenaar Keukenstudio Heiloo) - https://www.linkedin.com/in/marike-cnossen-3b032831 ; Dennis de Laat (Mede-eigenaar) - https://www.linkedin.com/in/dennis-de-laat-79a4972b ; Tara Bethlem (Verkoopadviseur) - https://www.linkedin.com/in/tara-bethlem-47b876131 ; Eva Lont (Keukenontwerper) - https://www.linkedin.com/in/eva-lont-597a16231,urn:li:organization:18936708
Keukenstudio Van den Bijtel,4.4,8,Jacobus Spijkerdreef 200,Hoofddorp,,NL,https://www.keukenstudiobijtel.nl/,+31 23 557 1660,Keukenwinkel,Kookwinkel,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Keukenstudio%20Van%20den%20Bijtel&query_place_id=ChIJC2XcL6nnxUcRLB4LBhmOe8U,Keukenwinkel,,,Gert-Jan van den Bijtel (Eigenaar Keukenstudio) - https://www.linkedin.com/in/gert-jan-van-den-bijtel-6b311227,
